Limit	:	Expected	:	Actual
1024	:	10.0	:	10.0
1030	:	10.0	:	10.0
1040	:	10.0	:	9.0
1050	:	10.0	:	10.0
1060	:	10.0	:	10.0
1070	:	10.1	:	7.0
1080	:	10.1	:	9.0
1090	:	10.1	:	11.0
1100	:	10.1	:	10.5
1110	:	10.1	:	10.0
1120	:	10.1	:	9.0
1130	:	10.1	:	10.0
1140	:	10.2	:	11.0
1150	:	10.2	:	10.0
1160	:	10.2	:	10.0
1170	:	10.2	:	10.0
1180	:	10.2	:	9.0
1190	:	10.2	:	6.0
1200	:	10.2	:	10.0
1210	:	10.2	:	10.0
1220	:	10.3	:	6.0
1230	:	10.3	:	10.0
1240	:	10.3	:	11.0
1250	:	10.3	:	9.0
1260	:	10.3	:	8.0
1270	:	10.3	:	11.0
1280	:	10.3	:	10.0
1290	:	10.3	:	10.0
1300	:	10.3	:	10.0
1310	:	10.4	:	10.0
1320	:	10.4	:	10.0
1330	:	10.4	:	10.0
1340	:	10.4	:	10.0
1350	:	10.4	:	10.0
1360	:	10.4	:	9.0
1370	:	10.4	:	9.0
1380	:	10.4	:	6.0
1390	:	10.4	:	9.0
1400	:	10.5	:	9.5
1410	:	10.5	:	10.0
1420	:	10.5	:	10.0
1430	:	10.5	:	6.0
1440	:	10.5	:	11.0
1450	:	10.5	:	11.0
1460	:	10.5	:	10.0
1470	:	10.5	:	11.0
1480	:	10.5	:	10.0
1490	:	10.5	:	8.0
1500	:	10.6	:	9.0
1510	:	10.6	:	10.0
1520	:	10.6	:	8.0
1530	:	10.6	:	11.0
1540	:	10.6	:	11.0
1550	:	10.6	:	10.0
1560	:	10.6	:	11.0
1570	:	10.6	:	10.0
1580	:	10.6	:	10.0
1590	:	10.6	:	8.0
1600	:	10.6	:	10.5
1610	:	10.7	:	10.0
1620	:	10.7	:	11.0
1630	:	10.7	:	11.0
1640	:	10.7	:	9.0
1650	:	10.7	:	10.5
1660	:	10.7	:	10.0
1670	:	10.7	:	11.0
1680	:	10.7	:	8.0
1690	:	10.7	:	11.0
1700	:	10.7	:	11.0
1710	:	10.7	:	11.0
1720	:	10.7	:	11.0
1730	:	10.8	:	10.0
1740	:	10.8	:	9.0
1750	:	10.8	:	10.0
1760	:	10.8	:	11.0
1770	:	10.8	:	9.0
1780	:	10.8	:	11.0
1790	:	10.8	:	10.0
1800	:	10.8	:	9.0
1810	:	10.8	:	7.0
1820	:	10.8	:	11.0
1830	:	10.8	:	6.0
1840	:	10.8	:	11.0
1850	:	10.9	:	10.5
1860	:	10.9	:	10.0
1870	:	10.9	:	10.0
1880	:	10.9	:	11.0
1890	:	10.9	:	9.0
1900	:	10.9	:	10.5
1910	:	10.9	:	10.0
1920	:	10.9	:	11.0
1930	:	10.9	:	11.0
1940	:	10.9	:	11.0
1950	:	10.9	:	11.0
1960	:	10.9	:	10.0
1970	:	10.9	:	11.0
1980	:	11.0	:	8.0
1990	:	11.0	:	11.0
2000	:	11.0	:	11.0
2010	:	11.0	:	11.0
2020	:	11.0	:	9.0
2030	:	11.0	:	11.0
2040	:	11.0	:	9.0
2048	:	11.0	:	11.0
2050	:	11.0	:	8.5
2060	:	11.0	:	10.0
2070	:	11.0	:	11.0
2080	:	11.0	:	8.0
2090	:	11.0	:	11.0
2100	:	11.0	:	10.5
2110	:	11.0	:	11.0
2120	:	11.0	:	11.0
2130	:	11.1	:	11.0
2140	:	11.1	:	10.0
2150	:	11.1	:	10.5
2160	:	11.1	:	10.0
2170	:	11.1	:	7.0
2180	:	11.1	:	11.0
2190	:	11.1	:	10.0
2200	:	11.1	:	9.5
2210	:	11.1	:	11.0
2220	:	11.1	:	9.0
2230	:	11.1	:	12.0
2240	:	11.1	:	11.0
2250	:	11.1	:	10.5
2260	:	11.1	:	9.0
2270	:	11.1	:	11.0
2280	:	11.2	:	11.0
2290	:	11.2	:	10.0
2300	:	11.2	:	11.0
2310	:	11.2	:	12.0
2320	:	11.2	:	10.0
2330	:	11.2	:	11.0
2340	:	11.2	:	8.0
2350	:	11.2	:	10.5
2360	:	11.2	:	12.0
2370	:	11.2	:	12.0
2380	:	11.2	:	11.0
2390	:	11.2	:	11.0
2400	:	11.2	:	8.5
2410	:	11.2	:	11.0
2420	:	11.2	:	12.0
2430	:	11.2	:	8.0
2440	:	11.3	:	9.0
2450	:	11.3	:	11.0
2460	:	11.3	:	10.0
2470	:	11.3	:	10.0
2480	:	11.3	:	9.0
2490	:	11.3	:	10.0
2500	:	11.3	:	11.0
2510	:	11.3	:	10.0
2520	:	11.3	:	8.0
2530	:	11.3	:	9.0
2540	:	11.3	:	11.0
2550	:	11.3	:	10.5
2560	:	11.3	:	10.0
2570	:	11.3	:	12.0
2580	:	11.3	:	12.0
2590	:	11.3	:	12.0
2600	:	11.3	:	11.0
2610	:	11.3	:	12.0
2620	:	11.4	:	10.0
2630	:	11.4	:	11.0
2640	:	11.4	:	11.0
2650	:	11.4	:	11.0
2660	:	11.4	:	8.0
2670	:	11.4	:	10.0
2680	:	11.4	:	12.0
2690	:	11.4	:	10.0
2700	:	11.4	:	10.0
2710	:	11.4	:	12.0
2720	:	11.4	:	8.0
2730	:	11.4	:	11.0
2740	:	11.4	:	8.0
2750	:	11.4	:	11.0
2760	:	11.4	:	12.0
2770	:	11.4	:	8.0
2780	:	11.4	:	11.0
2790	:	11.4	:	10.0
2800	:	11.5	:	10.5
2810	:	11.5	:	10.0
2820	:	11.5	:	12.0
2830	:	11.5	:	7.0
2840	:	11.5	:	11.0
2850	:	11.5	:	10.5
2860	:	11.5	:	12.0
2870	:	11.5	:	11.0
2880	:	11.5	:	7.0
2890	:	11.5	:	12.0
2900	:	11.5	:	12.0
2910	:	11.5	:	11.0
2920	:	11.5	:	10.0
2930	:	11.5	:	10.0
2940	:	11.5	:	12.0
2950	:	11.5	:	11.5
2960	:	11.5	:	12.0
2970	:	11.5	:	12.0
2980	:	11.5	:	12.0
2990	:	11.5	:	11.0
3000	:	11.6	:	8.5
3010	:	11.6	:	12.0
3020	:	11.6	:	10.0
3030	:	11.6	:	9.0
3040	:	11.6	:	12.0
3050	:	11.6	:	10.0
3060	:	11.6	:	10.0
3070	:	11.6	:	10.0
3080	:	11.6	:	11.0
3090	:	11.6	:	11.0
3100	:	11.6	:	11.0
3110	:	11.6	:	10.0
3120	:	11.6	:	12.0
3130	:	11.6	:	12.0
3140	:	11.6	:	12.0
3150	:	11.6	:	10.0
3160	:	11.6	:	12.0
3170	:	11.6	:	12.0
3180	:	11.6	:	8.0
3190	:	11.6	:	12.0
3200	:	11.6	:	9.0
3210	:	11.6	:	11.0
3220	:	11.7	:	10.0
3230	:	11.7	:	12.0
3240	:	11.7	:	11.0
3250	:	11.7	:	9.0
3260	:	11.7	:	11.0
3270	:	11.7	:	7.0
3280	:	11.7	:	11.0
3290	:	11.7	:	9.0
3300	:	11.7	:	11.5
3310	:	11.7	:	12.0
3320	:	11.7	:	9.0
3330	:	11.7	:	12.0
3340	:	11.7	:	12.0
3350	:	11.7	:	11.0
3360	:	11.7	:	10.0
3370	:	11.7	:	12.0
3380	:	11.7	:	12.0
3390	:	11.7	:	11.0
3400	:	11.7	:	11.5
3410	:	11.7	:	11.0
3420	:	11.7	:	11.0
3430	:	11.7	:	12.0
3440	:	11.7	:	12.0
3450	:	11.8	:	9.5
3460	:	11.8	:	12.0
3470	:	11.8	:	12.0
3480	:	11.8	:	12.0
3490	:	11.8	:	6.0
3500	:	11.8	:	12.0
3510	:	11.8	:	11.0
3520	:	11.8	:	12.0
3530	:	11.8	:	11.0
3540	:	11.8	:	11.0
3550	:	11.8	:	12.0
3560	:	11.8	:	11.0
3570	:	11.8	:	10.0
3580	:	11.8	:	12.0
3590	:	11.8	:	9.0
3600	:	11.8	:	11.0
3610	:	11.8	:	12.0
3620	:	11.8	:	12.0
3630	:	11.8	:	12.0
3640	:	11.8	:	10.0
3650	:	11.8	:	10.0
3660	:	11.8	:	9.0
3670	:	11.8	:	7.0
3680	:	11.8	:	10.0
3690	:	11.8	:	8.0
3700	:	11.9	:	12.0
3710	:	11.9	:	10.0
3720	:	11.9	:	11.0
3730	:	11.9	:	12.0
3740	:	11.9	:	12.0
3750	:	11.9	:	11.5
3760	:	11.9	:	9.0
3770	:	11.9	:	11.0
3780	:	11.9	:	11.0
3790	:	11.9	:	11.0
3800	:	11.9	:	11.5
3810	:	11.9	:	9.0
3820	:	11.9	:	6.0
3830	:	11.9	:	9.0
3840	:	11.9	:	11.0
3850	:	11.9	:	12.0
3860	:	11.9	:	12.0
3870	:	11.9	:	10.0
3880	:	11.9	:	12.0
3890	:	11.9	:	11.0
3900	:	11.9	:	12.0
3910	:	11.9	:	12.0
3920	:	11.9	:	10.0
3930	:	11.9	:	11.0
3940	:	11.9	:	12.0
3950	:	11.9	:	12.0
3960	:	12.0	:	12.0
3970	:	12.0	:	10.0
3980	:	12.0	:	10.0
3990	:	12.0	:	12.0
4000	:	12.0	:	12.0
4010	:	12.0	:	11.0
4020	:	12.0	:	12.0
4030	:	12.0	:	12.0
4040	:	12.0	:	11.0
4050	:	12.0	:	11.5
4060	:	12.0	:	11.0
4070	:	12.0	:	6.0
4080	:	12.0	:	8.0
4090	:	12.0	:	10.0
4100	:	12.0	:	8.5
4110	:	12.0	:	12.0
4120	:	12.0	:	10.0
4130	:	12.0	:	12.0
4140	:	12.0	:	12.0
4150	:	12.0	:	11.0
4160	:	12.0	:	12.0
4170	:	12.0	:	10.0
4180	:	12.0	:	12.0
4190	:	12.0	:	12.0
4200	:	12.0	:	11.5
4210	:	12.0	:	12.0
4220	:	12.0	:	9.0
4230	:	12.0	:	11.0
4240	:	12.0	:	12.0
4250	:	12.1	:	9.0
4260	:	12.1	:	12.0
4270	:	12.1	:	12.0
4280	:	12.1	:	12.0
4290	:	12.1	:	11.0
4300	:	12.1	:	7.0
4310	:	12.1	:	13.0
4320	:	12.1	:	11.0
4330	:	12.1	:	11.0
4340	:	12.1	:	8.0
4350	:	12.1	:	11.5
4360	:	12.1	:	12.0
4370	:	12.1	:	12.0
4380	:	12.1	:	10.0
4390	:	12.1	:	12.0
4400	:	12.1	:	10.5
4410	:	12.1	:	11.0
4420	:	12.1	:	11.0
4430	:	12.1	:	11.0
4440	:	12.1	:	12.0
4450	:	12.1	:	12.0
4460	:	12.1	:	9.0
4470	:	12.1	:	10.0
4480	:	12.1	:	11.0
4490	:	12.1	:	12.0
4500	:	12.1	:	10.5
4510	:	12.1	:	9.0
4520	:	12.1	:	12.0
4530	:	12.1	:	7.0
4540	:	12.1	:	11.0
4550	:	12.2	:	11.0
4560	:	12.2	:	12.0
4570	:	12.2	:	12.0
4580	:	12.2	:	9.0
4590	:	12.2	:	13.0
4600	:	12.2	:	11.5
4610	:	12.2	:	10.0
4620	:	12.2	:	13.0
4630	:	12.2	:	12.0
4640	:	12.2	:	12.0
4650	:	12.2	:	10.5
4660	:	12.2	:	13.0
4670	:	12.2	:	10.0
4680	:	12.2	:	13.0
4690	:	12.2	:	10.0
4700	:	12.2	:	9.0
4710	:	12.2	:	12.0
4720	:	12.2	:	12.0
4730	:	12.2	:	12.0
4740	:	12.2	:	11.0
4750	:	12.2	:	11.5
4760	:	12.2	:	12.0
4770	:	12.2	:	11.0
4780	:	12.2	:	10.0
4790	:	12.2	:	11.0
4800	:	12.2	:	12.0
4810	:	12.2	:	11.0
4820	:	12.2	:	13.0
4830	:	12.2	:	10.0
4840	:	12.2	:	11.0
4850	:	12.2	:	11.0
4860	:	12.2	:	13.0
4870	:	12.2	:	10.0
4880	:	12.3	:	12.0
4890	:	12.3	:	13.0
4900	:	12.3	:	11.5
4910	:	12.3	:	12.0
4920	:	12.3	:	11.0
4930	:	12.3	:	11.0
4940	:	12.3	:	11.0
4950	:	12.3	:	12.5
4960	:	12.3	:	11.0
4970	:	12.3	:	12.0
4980	:	12.3	:	12.0
4990	:	12.3	:	10.0
5000	:	12.3	:	12.0
5010	:	12.3	:	6.0
5020	:	12.3	:	13.0
5030	:	12.3	:	12.0
5040	:	12.3	:	12.0
5050	:	12.3	:	11.5
5060	:	12.3	:	13.0
5070	:	12.3	:	13.0
5080	:	12.3	:	12.0
5090	:	12.3	:	11.0
5100	:	12.3	:	11.5
5110	:	12.3	:	11.0
5120	:	12.3	:	12.0
5130	:	12.3	:	13.0
5140	:	12.3	:	9.0
5150	:	12.3	:	11.0
5160	:	12.3	:	12.0
5170	:	12.3	:	12.0
5180	:	12.3	:	13.0
5190	:	12.3	:	13.0
5200	:	12.3	:	11.0
5210	:	12.3	:	12.0
5220	:	12.3	:	10.0
5230	:	12.4	:	10.0
5240	:	12.4	:	13.0
5250	:	12.4	:	11.5
5260	:	12.4	:	12.0
5270	:	12.4	:	13.0
5280	:	12.4	:	13.0
5290	:	12.4	:	8.0
5300	:	12.4	:	9.0
5310	:	12.4	:	9.0
5320	:	12.4	:	11.0
5330	:	12.4	:	13.0
5340	:	12.4	:	13.0
5350	:	12.4	:	9.5
5360	:	12.4	:	13.0
5370	:	12.4	:	13.0
5380	:	12.4	:	11.0
5390	:	12.4	:	12.0
5400	:	12.4	:	11.0
5410	:	12.4	:	13.0
5420	:	12.4	:	12.0
5430	:	12.4	:	13.0
5440	:	12.4	:	11.0
5450	:	12.4	:	11.5
5460	:	12.4	:	12.0
5470	:	12.4	:	13.0
5480	:	12.4	:	13.0
5490	:	12.4	:	13.0
5500	:	12.4	:	12.0
5510	:	12.4	:	12.0
5520	:	12.4	:	12.0
5530	:	12.4	:	12.0
5540	:	12.4	:	11.0
5550	:	12.4	:	12.0
5560	:	12.4	:	12.0
5570	:	12.4	:	13.0
5580	:	12.4	:	9.0
5590	:	12.4	:	12.0
5600	:	12.5	:	11.5
5610	:	12.5	:	13.0
5620	:	12.5	:	12.0
5630	:	12.5	:	12.0
5640	:	12.5	:	13.0
5650	:	12.5	:	11.0
5660	:	12.5	:	13.0
5670	:	12.5	:	11.0
5680	:	12.5	:	12.0
5690	:	12.5	:	13.0
5700	:	12.5	:	10.5
5710	:	12.5	:	13.0
5720	:	12.5	:	12.0
5730	:	12.5	:	11.0
5740	:	12.5	:	11.0
5750	:	12.5	:	12.0
5760	:	12.5	:	12.0
5770	:	12.5	:	11.0
5780	:	12.5	:	12.0
5790	:	12.5	:	13.0
5800	:	12.5	:	11.0
5810	:	12.5	:	12.0
5820	:	12.5	:	11.0
5830	:	12.5	:	13.0
5840	:	12.5	:	12.0
5850	:	12.5	:	11.5
5860	:	12.5	:	9.0
5870	:	12.5	:	13.0
5880	:	12.5	:	11.0
5890	:	12.5	:	10.0
5900	:	12.5	:	11.0
5910	:	12.5	:	12.0
5920	:	12.5	:	13.0
5930	:	12.5	:	13.0
5940	:	12.5	:	12.0
5950	:	12.5	:	12.5
5960	:	12.5	:	11.0
5970	:	12.5	:	12.0
5980	:	12.5	:	13.0
5990	:	12.5	:	10.0
6000	:	12.6	:	13.0
6010	:	12.6	:	11.0
6020	:	12.6	:	10.0
6030	:	12.6	:	13.0
6040	:	12.6	:	12.0
6050	:	12.6	:	11.0
6060	:	12.6	:	13.0
6070	:	12.6	:	13.0
6080	:	12.6	:	12.0
6090	:	12.6	:	10.0
6100	:	12.6	:	11.5
6110	:	12.6	:	11.0
6120	:	12.6	:	7.0
6130	:	12.6	:	13.0
6140	:	12.6	:	10.0
6150	:	12.6	:	12.5
6160	:	12.6	:	10.0
6170	:	12.6	:	13.0
6180	:	12.6	:	13.0
6190	:	12.6	:	13.0
6200	:	12.6	:	11.5
6210	:	12.6	:	11.0
6220	:	12.6	:	13.0
6230	:	12.6	:	12.0
6240	:	12.6	:	12.0
6250	:	12.6	:	10.5
6260	:	12.6	:	13.0
6270	:	12.6	:	8.0
6280	:	12.6	:	10.0
6290	:	12.6	:	13.0
6300	:	12.6	:	11.5
6310	:	12.6	:	10.0
6320	:	12.6	:	9.0
6330	:	12.6	:	11.0
6340	:	12.6	:	12.0
6350	:	12.6	:	12.0
6360	:	12.6	:	13.0
6370	:	12.6	:	13.0
6380	:	12.6	:	13.0
6390	:	12.6	:	12.0
6400	:	12.6	:	12.5
6410	:	12.6	:	11.0
6420	:	12.6	:	12.0
6430	:	12.7	:	12.0
6440	:	12.7	:	13.0
6450	:	12.7	:	13.0
6460	:	12.7	:	10.0
6470	:	12.7	:	12.0
6480	:	12.7	:	13.0
6490	:	12.7	:	12.0
6500	:	12.7	:	11.5
6510	:	12.7	:	13.0
6520	:	12.7	:	12.0
6530	:	12.7	:	12.0
6540	:	12.7	:	11.0
6550	:	12.7	:	11.5
6560	:	12.7	:	12.0
6570	:	12.7	:	13.0
6580	:	12.7	:	12.0
6590	:	12.7	:	13.0
6600	:	12.7	:	12.5
6610	:	12.7	:	12.0
6620	:	12.7	:	11.0
6630	:	12.7	:	10.0
6640	:	12.7	:	11.0
6650	:	12.7	:	13.0
6660	:	12.7	:	10.0
6670	:	12.7	:	12.0
6680	:	12.7	:	12.0
6690	:	12.7	:	11.0
6700	:	12.7	:	12.0
6710	:	12.7	:	13.0
6720	:	12.7	:	13.0
6730	:	12.7	:	13.0
6740	:	12.7	:	7.0
6750	:	12.7	:	12.5
6760	:	12.7	:	13.0
6770	:	12.7	:	9.0
6780	:	12.7	:	12.0
6790	:	12.7	:	10.0
6800	:	12.7	:	12.5
6810	:	12.7	:	13.0
6820	:	12.7	:	10.0
6830	:	12.7	:	12.0
6840	:	12.7	:	12.0
6850	:	12.7	:	12.5
6860	:	12.7	:	13.0
6870	:	12.7	:	13.0
6880	:	12.7	:	12.0
6890	:	12.8	:	13.0
6900	:	12.8	:	12.0
6910	:	12.8	:	13.0
6920	:	12.8	:	12.0
6930	:	12.8	:	11.0
6940	:	12.8	:	13.0
6950	:	12.8	:	13.0
6960	:	12.8	:	12.0
6970	:	12.8	:	13.0
6980	:	12.8	:	13.0
6990	:	12.8	:	12.0
7000	:	12.8	:	13.0
7010	:	12.8	:	13.0
7020	:	12.8	:	13.0
7030	:	12.8	:	11.0
7040	:	12.8	:	12.0
7050	:	12.8	:	13.0
7060	:	12.8	:	11.0
7070	:	12.8	:	13.0
7080	:	12.8	:	11.0
7090	:	12.8	:	13.0
7100	:	12.8	:	13.0
7110	:	12.8	:	13.0
7120	:	12.8	:	11.0
7130	:	12.8	:	10.0
7140	:	12.8	:	13.0
7150	:	12.8	:	13.0
7160	:	12.8	:	13.0
7170	:	12.8	:	12.0
7180	:	12.8	:	13.0
7190	:	12.8	:	11.0
7200	:	12.8	:	11.5
7210	:	12.8	:	13.0
7220	:	12.8	:	10.0
7230	:	12.8	:	13.0
7240	:	12.8	:	9.0
7250	:	12.8	:	11.0
7260	:	12.8	:	12.0
7270	:	12.8	:	11.0
7280	:	12.8	:	13.0
7290	:	12.8	:	11.0
7300	:	12.8	:	13.0
7310	:	12.8	:	12.0
7320	:	12.8	:	10.0
7330	:	12.8	:	13.0
7340	:	12.8	:	13.0
7350	:	12.8	:	12.0
7360	:	12.8	:	13.0
7370	:	12.8	:	13.0
7380	:	12.8	:	12.0
7390	:	12.9	:	11.0
7400	:	12.9	:	12.5
7410	:	12.9	:	11.0
7420	:	12.9	:	13.0
7430	:	12.9	:	11.0
7440	:	12.9	:	13.0
7450	:	12.9	:	12.0
7460	:	12.9	:	12.0
7470	:	12.9	:	13.0
7480	:	12.9	:	13.0
7490	:	12.9	:	11.0
7500	:	12.9	:	12.0
7510	:	12.9	:	11.0
7520	:	12.9	:	11.0
7530	:	12.9	:	11.0
7540	:	12.9	:	9.0
7550	:	12.9	:	11.0
7560	:	12.9	:	13.0
7570	:	12.9	:	12.0
7580	:	12.9	:	11.0
7590	:	12.9	:	12.0
7600	:	12.9	:	12.0
7610	:	12.9	:	13.0
7620	:	12.9	:	13.0
7630	:	12.9	:	9.0
7640	:	12.9	:	13.0
7650	:	12.9	:	12.0
7660	:	12.9	:	12.0
7670	:	12.9	:	12.0
7680	:	12.9	:	12.0
7690	:	12.9	:	13.0
7700	:	12.9	:	11.5
7710	:	12.9	:	12.0
7720	:	12.9	:	13.0
7730	:	12.9	:	12.0
7740	:	12.9	:	13.0
7750	:	12.9	:	11.5
7760	:	12.9	:	11.0
7770	:	12.9	:	13.0
7780	:	12.9	:	13.0
7790	:	12.9	:	13.0
7800	:	12.9	:	12.5
7810	:	12.9	:	12.0
7820	:	12.9	:	7.0
7830	:	12.9	:	12.0
7840	:	12.9	:	13.0
7850	:	12.9	:	12.5
7860	:	12.9	:	13.0
7870	:	12.9	:	13.0
7880	:	12.9	:	12.0
7890	:	12.9	:	13.0
7900	:	12.9	:	12.0
7910	:	12.9	:	11.0
7920	:	13.0	:	12.0
7930	:	13.0	:	13.0
7940	:	13.0	:	13.0
7950	:	13.0	:	12.0
7960	:	13.0	:	11.0
7970	:	13.0	:	13.0
7980	:	13.0	:	12.0
7990	:	13.0	:	13.0
8000	:	13.0	:	12.0
8010	:	13.0	:	8.0
8020	:	13.0	:	11.0
8030	:	13.0	:	13.0
8040	:	13.0	:	11.0
8050	:	13.0	:	12.0
8060	:	13.0	:	11.0
8070	:	13.0	:	10.0
8080	:	13.0	:	10.0
8090	:	13.0	:	13.0
8100	:	13.0	:	10.0
8110	:	13.0	:	13.0
8120	:	13.0	:	13.0
8130	:	13.0	:	11.0
8140	:	13.0	:	13.0
8150	:	13.0	:	11.5
8160	:	13.0	:	13.0
8170	:	13.0	:	12.0
8180	:	13.0	:	13.0
8190	:	13.0	:	13.0
8200	:	13.0	:	11.5
8210	:	13.0	:	10.0
8220	:	13.0	:	12.0
8230	:	13.0	:	13.0
8240	:	13.0	:	13.0
8250	:	13.0	:	10.0
8260	:	13.0	:	12.0
8270	:	13.0	:	10.0
8280	:	13.0	:	11.0
8290	:	13.0	:	12.0
8300	:	13.0	:	11.5
8310	:	13.0	:	8.0
8320	:	13.0	:	13.0
8330	:	13.0	:	11.0
8340	:	13.0	:	12.0
8350	:	13.0	:	12.5
8360	:	13.0	:	10.0
8370	:	13.0	:	11.0
8380	:	13.0	:	13.0
8390	:	13.0	:	12.0
8400	:	13.0	:	12.5
8410	:	13.0	:	12.0
8420	:	13.0	:	12.0
8430	:	13.0	:	13.0
8440	:	13.0	:	13.0
8450	:	13.0	:	12.5
8460	:	13.0	:	13.0
8470	:	13.0	:	13.0
8480	:	13.0	:	13.0
8490	:	13.1	:	13.0
8500	:	13.1	:	10.0
8510	:	13.1	:	13.0
8520	:	13.1	:	12.0
8530	:	13.1	:	12.0
8540	:	13.1	:	13.0
8550	:	13.1	:	13.0
8560	:	13.1	:	13.0
8570	:	13.1	:	12.0
8580	:	13.1	:	12.0
8590	:	13.1	:	13.0
8600	:	13.1	:	12.0
8610	:	13.1	:	12.0
8620	:	13.1	:	12.0
8630	:	13.1	:	13.0
8640	:	13.1	:	11.0
8650	:	13.1	:	11.5
8660	:	13.1	:	13.0
8670	:	13.1	:	12.0
8680	:	13.1	:	10.0
8690	:	13.1	:	13.0
8700	:	13.1	:	10.5
8710	:	13.1	:	13.0
8720	:	13.1	:	13.0
8730	:	13.1	:	13.0
8740	:	13.1	:	11.0
8750	:	13.1	:	12.5
8760	:	13.1	:	13.0
8770	:	13.1	:	10.0
8780	:	13.1	:	13.0
8790	:	13.1	:	12.0
8800	:	13.1	:	13.0
8810	:	13.1	:	8.0
8820	:	13.1	:	13.0
8830	:	13.1	:	13.0
8840	:	13.1	:	12.0
8850	:	13.1	:	10.5
8860	:	13.1	:	12.0
8870	:	13.1	:	9.0
8880	:	13.1	:	13.0
8890	:	13.1	:	13.0
8900	:	13.1	:	13.0
8910	:	13.1	:	11.0
8920	:	13.1	:	13.0
8930	:	13.1	:	13.0
8940	:	13.1	:	13.0
8950	:	13.1	:	12.0
8960	:	13.1	:	13.0
8970	:	13.1	:	13.0
8980	:	13.1	:	13.0
8990	:	13.1	:	13.0
9000	:	13.1	:	10.0
9010	:	13.1	:	12.0
9020	:	13.1	:	13.0
9030	:	13.1	:	11.0
9040	:	13.1	:	11.0
9050	:	13.1	:	13.5
9060	:	13.1	:	9.0
9070	:	13.1	:	13.0
9080	:	13.1	:	13.0
9090	:	13.2	:	11.0
9100	:	13.2	:	13.0
9110	:	13.2	:	11.0
9120	:	13.2	:	13.0
9130	:	13.2	:	14.0
9140	:	13.2	:	13.0
9150	:	13.2	:	12.0
9160	:	13.2	:	12.0
9170	:	13.2	:	12.0
9180	:	13.2	:	13.0
9190	:	13.2	:	12.0
9200	:	13.2	:	12.5
9210	:	13.2	:	12.0
9220	:	13.2	:	13.0
9230	:	13.2	:	13.0
9240	:	13.2	:	13.0
9250	:	13.2	:	13.0
9260	:	13.2	:	12.0
9270	:	13.2	:	13.0
9280	:	13.2	:	12.0
9290	:	13.2	:	13.0
9300	:	13.2	:	13.0
9310	:	13.2	:	13.0
9320	:	13.2	:	12.0
9330	:	13.2	:	13.0
9340	:	13.2	:	13.0
9350	:	13.2	:	13.5
